RecipeName,Ingredients,Instructions
Ratatouille,"eggplant, zucchini, tomatoes, garlic, olive oil",Bake vegetables with garlic and olive oil.
Grilled Vegetables,"zucchini, eggplant, peppers, olive oil",Grill vegetables with olive oil until tender.
Stuffed Mushrooms,"mushrooms, cheese, breadcrumbs, garlic","Stuff mushrooms with cheese and breadcrumbs, bake."
Spinach Omelette,"eggs, spinach, cheese, milk",Cook eggs with spinach and cheese.
Roasted Chicken,"chicken, garlic, rosemary, olive oil, lemon",Roast chicken with garlic and rosemary.
Seafood Paella,"rice, shrimp, mussels, peas, saffron","Cook rice with seafood, saffron, and vegetables."
Vegetable Burger,"beans, breadcrumbs, onions, lettuce, bun","Make patties with beans, grill, and serve in a bun."
Guacamole,"avocado, tomatoes, onion, lime, salt",Mash avocado with tomatoes and lime.
Stuffed Zucchini,"zucchini, rice, tomatoes, cheese, garlic","Fill zucchini with rice and tomatoes, bake until tender."
Banana Salad,"banana, garlic",Combine banana and garlic. Cook until done. Adjust seasoning to taste. Serve hot.
Carrots Skillet,"carrots, bun, shrimp","Combine carrots, bun and shrimp. Cook until done. Adjust seasoning to taste. Serve hot."
Parmesan Tart,"parmesan, bananas, banana, breadcrumbs, croutons, curry powder","Combine parmesan, bananas, banana, breadcrumbs, croutons and curry powder. Cook until done. Adjust seasoning to taste. Serve hot."
Banana Casserole,"banana, spinach, coconut milk, shrimp, onions, cucumber","Combine banana, spinach, coconut milk, shrimp, onions and cucumber. Cook until done. Adjust seasoning to taste. Serve hot."
Garlic Bake,"garlic, apples, chicken, parmesan, lime, zucchini","Combine garlic, apples, chicken, parmesan, lime and zucchini. Cook until done. Adjust seasoning to taste. Serve hot."
Lime Pasta,"lime, bun, breadcrumbs","Combine lime, bun and breadcrumbs. Cook until done. Adjust seasoning to taste. Serve hot."
Milk Frittata,"milk, mayonnaise",Combine milk and mayonnaise. Cook until done. Adjust seasoning to taste. Serve hot.
Basil Pasta,"basil, pepper, salt, cabbage","Combine basil, pepper, salt and cabbage. Cook until done. Adjust seasoning to taste. Serve hot."
Soy Sauce Frittata,"soy sauce, honey",Combine soy sauce and honey. Cook until done. Adjust seasoning to taste. Serve hot.
Sugar Salad,"sugar, cocoa powder, bell peppers, basil","Combine sugar, cocoa powder, bell peppers and basil. Cook until done. Adjust seasoning to taste. Serve hot."
Bread Soup,"bread, curry powder, broth, mushrooms","Combine bread, curry powder, broth and mushrooms. Cook until done. Adjust seasoning to taste. Serve hot."
Vinegar Salad,"vinegar, mixed vegetables, chicken, mozzarella, milk","Combine vinegar, mixed vegetables, chicken, mozzarella and milk. Cook until done. Adjust seasoning to taste. Serve hot."
Water Bake,"water, blueberries, tortilla, vinegar","Combine water, blueberries, tortilla and vinegar. Cook until done. Adjust seasoning to taste. Serve hot."
Eggplant Salad,"eggplant, chicken, peppers, mushrooms, flour, spinach","Combine eggplant, chicken, peppers, mushrooms, flour and spinach. Cook until done. Adjust seasoning to taste. Serve hot."
Beef Pasta,"beef, curry powder, bananas, lemons","Combine beef, curry powder, bananas and lemons. Cook until done. Adjust seasoning to taste. Serve hot."
Bell Peppers Salad,"bell peppers, croutons, strawberries, lemons","Combine bell peppers, croutons, strawberries and lemons. Cook until done. Adjust seasoning to taste. Serve hot."
Mustard Bake,"mustard, water, pepper, celery, fish","Combine mustard, water, pepper, celery and fish. Cook until done. Adjust seasoning to taste. Serve hot."
Spinach Frittata,"spinach, salt, fish","Combine spinach, salt and fish. Cook until done. Adjust seasoning to taste. Serve hot."
Tomato Tart,"tomato, olive oil, mixed vegetables, cucumber, carrots","Combine tomato, olive oil, mixed vegetables, cucumber and carrots. Cook until done. Adjust seasoning to taste. Serve hot."
Breadcrumbs Bake,"breadcrumbs, beans, butter, cheese, vegetables","Combine breadcrumbs, beans, butter, cheese and vegetables. Cook until done. Adjust seasoning to taste. Serve hot."
Tomatoes Tart,"tomatoes, bell peppers, mussels, mushrooms, peppers","Combine tomatoes, bell peppers, mussels, mushrooms and peppers. Cook until done. Adjust seasoning to taste. Serve hot."
Soy Sauce Soup,"soy sauce, avocado, butter, salt","Combine soy sauce, avocado, butter and salt. Cook until done. Adjust seasoning to taste. Serve hot."
Butter Casserole,"butter, honey, parsley, chicken","Combine butter, honey, parsley and chicken. Cook until done. Adjust seasoning to taste. Serve hot."
Fish Bake,"fish, rosemary",Combine fish and rosemary. Cook until done. Adjust seasoning to taste. Serve hot.
Bun Salad,"bun, vegetables, lamb, vinegar, rosemary, tortilla","Combine bun, vegetables, lamb, vinegar, rosemary and tortilla. Cook until done. Adjust seasoning to taste. Serve hot."
Mozzarella Tart,"mozzarella, chicken, shrimp","Combine mozzarella, chicken and shrimp. Cook until done. Adjust seasoning to taste. Serve hot."
Tomatoes Casserole,"tomatoes, lentils",Combine tomatoes and lentils. Cook until done. Adjust seasoning to taste. Serve hot.
Butter Soup,"butter, mixed vegetables",Combine butter and mixed vegetables. Cook until done. Adjust seasoning to taste. Serve hot.
Beef Skillet,"beef, dill, strawberries","Combine beef, dill and strawberries. Cook until done. Adjust seasoning to taste. Serve hot."
Pumpkin Tart,"pumpkin, bell peppers",Combine pumpkin and bell peppers. Cook until done. Adjust seasoning to taste. Serve hot.
Caesar Dressing Tart,"caesar dressing, zucchini, pie crust","Combine caesar dressing, zucchini and pie crust. Cook until done. Adjust seasoning to taste. Serve hot."
Fish Pasta,"fish, salsa, tortilla","Combine fish, salsa and tortilla. Cook until done. Adjust seasoning to taste. Serve hot."
Shrimp Pasta,"shrimp, coconut milk, lemon","Combine shrimp, coconut milk and lemon. Cook until done. Adjust seasoning to taste. Serve hot."
Pasta Salad,"pasta, salmon, peas, cabbage","Combine pasta, salmon, peas and cabbage. Cook until done. Adjust seasoning to taste. Serve hot."
Bell Peppers Frittata,"bell peppers, lime, balsamic","Combine bell peppers, lime and balsamic. Cook until done. Adjust seasoning to taste. Serve hot."
Curry Powder Salad,"curry powder, tomato sauce, cucumber, apples, blueberries, beef","Combine curry powder, tomato sauce, cucumber, apples, blueberries and beef. Cook until done. Adjust seasoning to taste. Serve hot."
Bananas Skillet,"bananas, lettuce",Combine bananas and lettuce. Cook until done. Adjust seasoning to taste. Serve hot.
Dill Frittata,"dill, garlic, pumpkin, croutons, shrimp, caesar dressing","Combine dill, garlic, pumpkin, croutons, shrimp and caesar dressing. Cook until done. Adjust seasoning to taste. Serve hot."
Pie Crust Skillet,"pie crust, eggplant, zucchini, onion, cocoa powder, broth","Combine pie crust, eggplant, zucchini, onion, cocoa powder and broth. Cook until done. Adjust seasoning to taste. Serve hot."
Milk Skillet,"milk, parmesan, onion, peppers, beans","Combine milk, parmesan, onion, peppers and beans. Cook until done. Adjust seasoning to taste. Serve hot."
Olive Oil Skillet,"olive oil, lime",Combine olive oil and lime. Cook until done. Adjust seasoning to taste. Serve hot.
Cocoa Powder Bake,"cocoa powder, salt, peas","Combine cocoa powder, salt and peas. Cook until done. Adjust seasoning to taste. Serve hot."
Cinnamon Casserole,"cinnamon, garlic, peppers, eggplant, blueberries","Combine cinnamon, garlic, peppers, eggplant and blueberries. Cook until done. Adjust seasoning to taste. Serve hot."
Broth Bake,"broth, beans, shrimp, avocado, breadcrumbs, dill","Combine broth, beans, shrimp, avocado, breadcrumbs and dill. Cook until done. Adjust seasoning to taste. Serve hot."
Pumpkin Bake,"pumpkin, potatoes, croutons, olive oil, beef","Combine pumpkin, potatoes, croutons, olive oil and beef. Cook until done. Adjust seasoning to taste. Serve hot."
Apples Pasta,"apples, mussels, fish, pepper, ginger","Combine apples, mussels, fish, pepper and ginger. Cook until done. Adjust seasoning to taste. Serve hot."
Zucchini Delight,"zucchini, pumpkin, cheese, cocoa powder, honey, croutons","Combine zucchini, pumpkin, cheese, cocoa powder, honey and croutons. Cook until done. Adjust seasoning to taste. Serve hot."
Shrimp Casserole,"shrimp, beef, lemons, yogurt, beans, tomato","Combine shrimp, beef, lemons, yogurt, beans and tomato. Cook until done. Adjust seasoning to taste. Serve hot."
Salsa Skillet,"salsa, chicken, beef, saffron, bread, cinnamon","Combine salsa, chicken, beef, saffron, bread and cinnamon. Cook until done. Adjust seasoning to taste. Serve hot."
Bell Peppers Frittata,"bell peppers, dill, olive oil, cabbage, strawberries, eggplant","Combine bell peppers, dill, olive oil, cabbage, strawberries and eggplant. Cook until done. Adjust seasoning to taste. Serve hot."
Basil Tart,"basil, tuna, bread, onions, tomato, strawberries","Combine basil, tuna, bread, onions, tomato and strawberries. Cook until done. Adjust seasoning to taste. Serve hot."
Fish Soup,"fish, cream, lemons, dill","Combine fish, cream, lemons and dill. Cook until done. Adjust seasoning to taste. Serve hot."
Caesar Dressing Skillet,"caesar dressing, water, lamb, pepper, lemons","Combine caesar dressing, water, lamb, pepper and lemons. Cook until done. Adjust seasoning to taste. Serve hot."
Pepper Frittata,"pepper, tuna",Combine pepper and tuna. Cook until done. Adjust seasoning to taste. Serve hot.
Blueberries Salad,"blueberries, salt",Combine blueberries and salt. Cook until done. Adjust seasoning to taste. Serve hot.
Fish Soup,"fish, caesar dressing, mayonnaise, bell peppers, eggplant, mozzarella","Combine fish, caesar dressing, mayonnaise, bell peppers, eggplant and mozzarella. Cook until done. Adjust seasoning to taste. Serve hot."
Pasta Frittata,"pasta, shrimp, lamb","Combine pasta, shrimp and lamb. Cook until done. Adjust seasoning to taste. Serve hot."
Avocado Skillet,"avocado, soy sauce, lamb, bun, carrots, fish","Combine avocado, soy sauce, lamb, bun, carrots and fish. Cook until done. Adjust seasoning to taste. Serve hot."
Soy Sauce Soup,"soy sauce, cheese",Combine soy sauce and cheese. Cook until done. Adjust seasoning to taste. Serve hot.
Tortilla Soup,"tortilla, cream, lime, vinegar","Combine tortilla, cream, lime and vinegar. Cook until done. Adjust seasoning to taste. Serve hot."
Pumpkin Delight,"pumpkin, eggs, beans, breadcrumbs, parmesan, garlic","Combine pumpkin, eggs, beans, breadcrumbs, parmesan and garlic. Cook until done. Adjust seasoning to taste. Serve hot."
Lettuce Soup,"lettuce, caesar dressing",Combine lettuce and caesar dressing. Cook until done. Adjust seasoning to taste. Serve hot.
Pasta Tart,"pasta, soy sauce, parmesan","Combine pasta, soy sauce and parmesan. Cook until done. Adjust seasoning to taste. Serve hot."
Butter Bake,"butter, blueberries",Combine butter and blueberries. Cook until done. Adjust seasoning to taste. Serve hot.
Bananas Bake,"bananas, mozzarella, tomato, soy sauce, celery, parsley","Combine bananas, mozzarella, tomato, soy sauce, celery and parsley. Cook until done. Adjust seasoning to taste. Serve hot."
Lemon Delight,"lemon, mixed vegetables",Combine lemon and mixed vegetables. Cook until done. Adjust seasoning to taste. Serve hot.
Cream Tart,"cream, eggplant, bun, milk","Combine cream, eggplant, bun and milk. Cook until done. Adjust seasoning to taste. Serve hot."
Tuna Pasta,"tuna, cheese, dill, chicken, chocolate","Combine tuna, cheese, dill, chicken and chocolate. Cook until done. Adjust seasoning to taste. Serve hot."
Chocolate Pasta,"chocolate, lettuce",Combine chocolate and lettuce. Cook until done. Adjust seasoning to taste. Serve hot.
Flour Pasta,"flour, chicken, bun","Combine flour, chicken and bun. Cook until done. Adjust seasoning to taste. Serve hot."
Pie Crust Salad,"pie crust, cucumber",Combine pie crust and cucumber. Cook until done. Adjust seasoning to taste. Serve hot.
Mayonnaise Salad,"mayonnaise, lemon, curry powder, cucumber, banana","Combine mayonnaise, lemon, curry powder, cucumber and banana. Cook until done. Adjust seasoning to taste. Serve hot."
Lettuce Tart,"lettuce, garlic, bell peppers, mayonnaise, water","Combine lettuce, garlic, bell peppers, mayonnaise and water. Cook until done. Adjust seasoning to taste. Serve hot."
Salt Bake,"salt, lettuce, banana, butter, fish","Combine salt, lettuce, banana, butter and fish. Cook until done. Adjust seasoning to taste. Serve hot."
Fish Stir-Fry,"fish, bananas, bun, tomatoes, parsley, mayonnaise","Combine fish, bananas, bun, tomatoes, parsley and mayonnaise. Cook until done. Adjust seasoning to taste. Serve hot."
Tortilla Salad,"tortilla, saffron, butter, mussels, sugar","Combine tortilla, saffron, butter, mussels and sugar. Cook until done. Adjust seasoning to taste. Serve hot."
Basil Tart,"basil, parsley, apples, salmon","Combine basil, parsley, apples and salmon. Cook until done. Adjust seasoning to taste. Serve hot."
Mixed Vegetables Stir-Fry,"mixed vegetables, parsley, bell peppers","Combine mixed vegetables, parsley and bell peppers. Cook until done. Adjust seasoning to taste. Serve hot."
Lemons Stir-Fry,"lemons, cabbage, lamb, rosemary, lemon, onion","Combine lemons, cabbage, lamb, rosemary, lemon and onion. Cook until done. Adjust seasoning to taste. Serve hot."
Honey Pasta,"honey, soy sauce, caesar dressing, cocoa powder, onions","Combine honey, soy sauce, caesar dressing, cocoa powder and onions. Cook until done. Adjust seasoning to taste. Serve hot."
Tortillas Pasta,"tortillas, strawberries, lamb","Combine tortillas, strawberries and lamb. Cook until done. Adjust seasoning to taste. Serve hot."
Apples Frittata,"apples, lamb, ginger, cream, parsley, tomato","Combine apples, lamb, ginger, cream, parsley and tomato. Cook until done. Adjust seasoning to taste. Serve hot."
Peppers Casserole,"peppers, pasta, croutons, saffron","Combine peppers, pasta, croutons and saffron. Cook until done. Adjust seasoning to taste. Serve hot."
Zucchini Tart,"zucchini, bread, ginger","Combine zucchini, bread and ginger. Cook until done. Adjust seasoning to taste. Serve hot."
Lettuce Bake,"lettuce, breadcrumbs, dill, lemon, cucumber, coconut milk","Combine lettuce, breadcrumbs, dill, lemon, cucumber and coconut milk. Cook until done. Adjust seasoning to taste. Serve hot."
Basil Casserole,"basil, eggplant",Combine basil and eggplant. Cook until done. Adjust seasoning to taste. Serve hot.
Blueberries Pasta,"blueberries, pepper, onions, vegetables, sugar, cocoa powder","Combine blueberries, pepper, onions, vegetables, sugar and cocoa powder. Cook until done. Adjust seasoning to taste. Serve hot."
Olive Oil Skillet,"olive oil, eggplant, celery, yogurt, apples","Combine olive oil, eggplant, celery, yogurt and apples. Cook until done. Adjust seasoning to taste. Serve hot."
Cucumber Tart,"cucumber, chocolate, salmon, peppers, beans","Combine cucumber, chocolate, salmon, peppers and beans. Cook until done. Adjust seasoning to taste. Serve hot."
Cabbage Casserole,"cabbage, pepper, carrots","Combine cabbage, pepper and carrots. Cook until done. Adjust seasoning to taste. Serve hot."
Spinach Pasta,"spinach, tomatoes, lemons, pasta, tortillas, rosemary","Combine spinach, tomatoes, lemons, pasta, tortillas and rosemary. Cook until done. Adjust seasoning to taste. Serve hot."
Peas Soup,"peas, chicken, pie crust, zucchini, fish, eggplant","Combine peas, chicken, pie crust, zucchini, fish and eggplant. Cook until done. Adjust seasoning to taste. Serve hot."
Pumpkin Soup,"pumpkin, vegetables, dill, garlic, pasta, blueberries","Combine pumpkin, vegetables, dill, garlic, pasta and blueberries. Cook until done. Adjust seasoning to taste. Serve hot."
Flour Tart,"flour, lettuce, lemons","Combine flour, lettuce and lemons. Cook until done. Adjust seasoning to taste. Serve hot."
Carrots Salad,"carrots, cheese",Combine carrots and cheese. Cook until done. Adjust seasoning to taste. Serve hot.
Cheese Stir-Fry,"cheese, croutons, bell peppers, onions, onion","Combine cheese, croutons, bell peppers, onions and onion. Cook until done. Adjust seasoning to taste. Serve hot."
Peppers Frittata,"peppers, onions, beef, cream, yogurt, mussels","Combine peppers, onions, beef, cream, yogurt and mussels. Cook until done. Adjust seasoning to taste. Serve hot."
Sugar Casserole,"sugar, mushrooms",Combine sugar and mushrooms. Cook until done. Adjust seasoning to taste. Serve hot.
Milk Pasta,"milk, lamb",Combine milk and lamb. Cook until done. Adjust seasoning to taste. Serve hot.
Salt Salad,"salt, shrimp, tortilla, cucumber, pumpkin","Combine salt, shrimp, tortilla, cucumber and pumpkin. Cook until done. Adjust seasoning to taste. Serve hot."
Parsley Stir-Fry,"parsley, pumpkin, banana, mussels","Combine parsley, pumpkin, banana and mussels. Cook until done. Adjust seasoning to taste. Serve hot."
Chickpeas Delight,"chickpeas, peppers, caesar dressing, tuna, salt","Combine chickpeas, peppers, caesar dressing, tuna and salt. Cook until done. Adjust seasoning to taste. Serve hot."
Tomato Sauce Pasta,"tomato sauce, strawberries, zucchini, banana, bread","Combine tomato sauce, strawberries, zucchini, banana and bread. Cook until done. Adjust seasoning to taste. Serve hot."
Peppers Soup,"peppers, cinnamon, beans","Combine peppers, cinnamon and beans. Cook until done. Adjust seasoning to taste. Serve hot."
Lentils Soup,"lentils, croutons, pepper, lime, mushrooms","Combine lentils, croutons, pepper, lime and mushrooms. Cook until done. Adjust seasoning to taste. Serve hot."
Eggs Delight,"eggs, bread, pie crust, balsamic, shrimp","Combine eggs, bread, pie crust, balsamic and shrimp. Cook until done. Adjust seasoning to taste. Serve hot."
Cucumber Delight,"cucumber, yogurt, bell peppers, basil","Combine cucumber, yogurt, bell peppers and basil. Cook until done. Adjust seasoning to taste. Serve hot."
Coconut Milk Bake,"coconut milk, balsamic, tuna","Combine coconut milk, balsamic and tuna. Cook until done. Adjust seasoning to taste. Serve hot."
Caesar Dressing Frittata,"caesar dressing, pie crust, butter","Combine caesar dressing, pie crust and butter. Cook until done. Adjust seasoning to taste. Serve hot."
Peppers Bake,"peppers, eggs, mozzarella","Combine peppers, eggs and mozzarella. Cook until done. Adjust seasoning to taste. Serve hot."
Tortilla Delight,"tortilla, butter, chicken, lemon, bun, tomato","Combine tortilla, butter, chicken, lemon, bun and tomato. Cook until done. Adjust seasoning to taste. Serve hot."
Sugar Skillet,"sugar, mushrooms, mustard, coconut milk","Combine sugar, mushrooms, mustard and coconut milk. Cook until done. Adjust seasoning to taste. Serve hot."
Vegetables Frittata,"vegetables, eggplant, bun, lamb, tomatoes, cabbage","Combine vegetables, eggplant, bun, lamb, tomatoes and cabbage. Cook until done. Adjust seasoning to taste. Serve hot."
Mayonnaise Pasta,"mayonnaise, salt",Combine mayonnaise and salt. Cook until done. Adjust seasoning to taste. Serve hot.
Bell Peppers Delight,"bell peppers, rosemary, water, lime","Combine bell peppers, rosemary, water and lime. Cook until done. Adjust seasoning to taste. Serve hot."
Pumpkin Casserole,"pumpkin, bun, parsley, mixed vegetables, vinegar","Combine pumpkin, bun, parsley, mixed vegetables and vinegar. Cook until done. Adjust seasoning to taste. Serve hot."
Parsley Soup,"parsley, chocolate, salmon","Combine parsley, chocolate and salmon. Cook until done. Adjust seasoning to taste. Serve hot."
Salt Stir-Fry,"salt, potatoes, peppers, parsley, tomato sauce, flour","Combine salt, potatoes, peppers, parsley, tomato sauce and flour. Cook until done. Adjust seasoning to taste. Serve hot."
Breadcrumbs Salad,"breadcrumbs, garlic, peas","Combine breadcrumbs, garlic and peas. Cook until done. Adjust seasoning to taste. Serve hot."
Strawberries Casserole,"strawberries, tortillas, mushrooms, lime, banana","Combine strawberries, tortillas, mushrooms, lime and banana. Cook until done. Adjust seasoning to taste. Serve hot."
Cinnamon Soup,"cinnamon, pumpkin, croutons, milk","Combine cinnamon, pumpkin, croutons and milk. Cook until done. Adjust seasoning to taste. Serve hot."
Garlic Tart,"garlic, tomatoes, spinach, avocado","Combine garlic, tomatoes, spinach and avocado. Cook until done. Adjust seasoning to taste. Serve hot."
Bread Casserole,"bread, dill, onion","Combine bread, dill and onion. Cook until done. Adjust seasoning to taste. Serve hot."
Dill Skillet,"dill, pie crust, water, pumpkin, peas, balsamic","Combine dill, pie crust, water, pumpkin, peas and balsamic. Cook until done. Adjust seasoning to taste. Serve hot."
Cucumber Frittata,"cucumber, olive oil, eggplant, lemon","Combine cucumber, olive oil, eggplant and lemon. Cook until done. Adjust seasoning to taste. Serve hot."
Pie Crust Pasta,"pie crust, soy sauce, salsa, mayonnaise","Combine pie crust, soy sauce, salsa and mayonnaise. Cook until done. Adjust seasoning to taste. Serve hot."
Lettuce Salad,"lettuce, milk, pepper, flour, lemon, eggs","Combine lettuce, milk, pepper, flour, lemon and eggs. Cook until done. Adjust seasoning to taste. Serve hot."
Cocoa Powder Skillet,"cocoa powder, lemons",Combine cocoa powder and lemons. Cook until done. Adjust seasoning to taste. Serve hot.
Cinnamon Tart,"cinnamon, cocoa powder, croutons, potatoes, garlic, tomato sauce","Combine cinnamon, cocoa powder, croutons, potatoes, garlic and tomato sauce. Cook until done. Adjust seasoning to taste. Serve hot."
Ginger Bake,"ginger, broth, cocoa powder, honey, curry powder, mixed vegetables","Combine ginger, broth, cocoa powder, honey, curry powder and mixed vegetables. Cook until done. Adjust seasoning to taste. Serve hot."
Avocado Delight,"avocado, salt, caesar dressing, garlic","Combine avocado, salt, caesar dressing and garlic. Cook until done. Adjust seasoning to taste. Serve hot."
Soy Sauce Bake,"soy sauce, honey",Combine soy sauce and honey. Cook until done. Adjust seasoning to taste. Serve hot.
Bun Casserole,"bun, avocado, sugar, ginger, pie crust","Combine bun, avocado, sugar, ginger and pie crust. Cook until done. Adjust seasoning to taste. Serve hot."
Lime Skillet,"lime, cinnamon, beans, eggs, potatoes","Combine lime, cinnamon, beans, eggs and potatoes. Cook until done. Adjust seasoning to taste. Serve hot."
Olive Oil Skillet,"olive oil, pumpkin",Combine olive oil and pumpkin. Cook until done. Adjust seasoning to taste. Serve hot.
Vegetables Skillet,"vegetables, beans, cheese, water, strawberries, lamb","Combine vegetables, beans, cheese, water, strawberries and lamb. Cook until done. Adjust seasoning to taste. Serve hot."
Cabbage Frittata,"cabbage, spinach, onions","Combine cabbage, spinach and onions. Cook until done. Adjust seasoning to taste. Serve hot."
Tuna Soup,"tuna, cucumber, salmon, mushrooms, peas, pasta","Combine tuna, cucumber, salmon, mushrooms, peas and pasta. Cook until done. Adjust seasoning to taste. Serve hot."
Parmesan Skillet,"parmesan, lemon, strawberries, tuna, beef, tortillas","Combine parmesan, lemon, strawberries, tuna, beef and tortillas. Cook until done. Adjust seasoning to taste. Serve hot."
Vegetables Skillet,"vegetables, croutons, fish","Combine vegetables, croutons and fish. Cook until done. Adjust seasoning to taste. Serve hot."
Dill Skillet,"dill, chocolate, soy sauce","Combine dill, chocolate and soy sauce. Cook until done. Adjust seasoning to taste. Serve hot."
Apples Frittata,"apples, onion, peas","Combine apples, onion and peas. Cook until done. Adjust seasoning to taste. Serve hot."
Honey Skillet,"honey, bananas, curry powder, ginger, pepper","Combine honey, bananas, curry powder, ginger and pepper. Cook until done. Adjust seasoning to taste. Serve hot."
Fish Salad,"fish, vegetables, tomato sauce","Combine fish, vegetables and tomato sauce. Cook until done. Adjust seasoning to taste. Serve hot."
